transcription,recording_id,input_values,labels,model_transcription
tag @bama one five identified direct to zurich east ,061_0345,"[-0.48439232 -0.74081343 -0.72798455 ... -0.01970844 -0.6158163
  0.00348601]","[3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4
 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4]",DAR BAMA AND FIVE IDENTIFIED DERECTO CULIHIIST
tag berlin five two five five identified ,061_0346,"[-0.51121944 -0.48030588  0.12354045 ...  0.00490812  0.10074146
  0.00368963]","[3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3
 3 3 3 4]",THO ERLIN FIVE TO FIVE FIVE IDENTIFIED
morning tarom three seven two identified ,061_0347,"[-0.8243638  -0.5131243  -0.61883783 ...  0.09547286  0.06619183
  0.01026391]","[3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3
 3 3 3 4]",ONE ING THE ARM THREE SEVEN TO IDENTIFIED
radio check how do you read me ,061_0348,"[-0.42004162 -0.7788703  -0.8924492  ... -0.02775041 -0.6920404
  0.00346978]",[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 4 3 3 3 3 4 3 3 4],A LADY O TRECK HOW DO YOU REAT ME
that's fine ,061_0349,"[-0.73600405 -1.4345802  -0.21992537 ...  0.6377035  -0.539979
 -0.10300019]",[ 3  3  3  3 27  3  4  3  3  3  3  4],A TIME
berlin five two five five direct to frankfurt ,061_0350,"[-0.7338347  -0.22121976 -0.7478943  ... -0.36765108 -0.19323945
  0.00362188]","[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 4 3
 3 3 3 3 3 3 3 3 4]",BELLYIN FIVE TO FIVE FIVE DIRECT O FRANG FORD
tag swissair eight zero six identified climb flight level three one zero ,061_0351,"[-0.835588   -0.820575    0.23941897 ... -0.5953993   0.15766789
  0.02671969]","[3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",DAX WAS ASIROSIX IDENTIFIED CLAMP FLAT LEATER TRIVANZIRO
swissair eight zero six climb with thousand five hundred feet per minute or more ,061_0352,"[-0.3586475  -0.40543106 -0.43423367 ... -0.5635503  -0.16273855
  0.00239753]","[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3
 3 4 3 3 3 3 4]",SPATATE OR SIX CLAMOURS ONE THOUSAND FIVE HUNDRED FEET PER MINUTE ON MAR
sobelair two five two one contact rhein frequency one three two decimal four tschuss ,061_0353,"[-0.4190517  -0.5204321   0.18685733 ... -0.05312367  0.08448357
  0.00180733]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3
 3 3 4 3 3 3 3 3 3 3 4]",ZOBALLETTTO FIVE TO ONE CONTACT LINE FREQUENCY RONTRITU DESAMMER FORTRESS
swissair eight zero six continue climb to flight level three five zero ,061_0354,"[-0.7889663  -0.6157758  -0.8650603  ...  0.04429198  0.0330457
  0.00352125]","[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",SMAZA IZI OR SIX CONTAIN YOUR CLOWNP TO FLOOD LOVER THREE FIVE SIROS
lufthansa four four zero eight contact zurich one three four six tschuss ,061_0355,"[-0.6003927  -0.60017043 -0.73799545 ... -0.5466223   0.1569141
 -0.05180251]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",LOTANDLA FOR FASIRAI CONTAC SURISH MONTLY FOR SIXTRE
[EMPTY] ,061_0356,"[-1.7899805  -5.3470187  -6.26059    ... -0.1327454   0.55904675
  0.06298123]",[ 3  5 17 23  6 22  3  4],
[EMPTY] ,061_0357,"[ 0.1517174   0.0467907  -0.35514545 ...  0.0784307   0.05703295
  0.02689997]",[ 3  5 17 23  6 22  3  4],
tag swissair nine three six zero identified ,061_0358,"[-2.040706   -0.8207746   0.27651566 ...  0.06201432 -0.01437242
  0.09919652]","[3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 4]",TAX WAS AN ANTLISIC SILA IDENTIFIED
swissair eight zero six what is your rate of climb ,061_0359,"[-0.08672813 -0.29227036 -0.2982699  ...  0.1350866  -0.13834737
 -0.45382604]","[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 4
 3 3 3 3 4 3 3 4 3 3 3 3 3 4]",SPASASE OR SIX FOOT AS HE READ OFF CLIME
affirm i gave you a rate of climb of one thousand five hundred or more and you read it back ,061_0360,"[-0.7769645  -0.861196   -0.25831747 ...  0.01169853 -0.22305489
 -0.47562546]","[3 3 3 3 3 3 4 3 4 3 3 3 3 4 3 3 3 4 3 4 3 3 3 3 4 3 3 4 3 3 3 3 3 4 3 3 4
 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 4 3 3 3
 4 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 4]",A FUM I GEVE YOU A RATE OF CLIM OF ONE THOUSAND FIVE HUNDRED ON MORE AND YOU RUDDED BACK
jat two seven three guten tag identified ,061_0361,"[ 0.0976105  -0.08686729 -0.09553662 ... -0.04022048 -0.64892954
  0.00342191]","[3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3
 3 3 3 4]",HE HAT TWO SEVENTH REGUANTARG IDENTIFIED
lufthansa three five six six guten tag identified climb flight level two nine zero ,061_0362,"[-0.6242754  -0.24761981  0.10702728 ... -0.05607979  0.15678453
 -0.3548667 ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3
 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3
 3 3 3 4 3 3 3 3 4]",LEFT ON THA TPREE FIVE SIX SIX WUNTAG IDENTIFIED GLAMFLA A LA VILTUNA NAZORON
lufthansa three five six six direct to trasadingen ,061_0363,"[-0.01033302 -0.08097129  0.15612867 ...  0.03958391  0.00562016
  0.0032309 ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3
 3 4 3 3 3 3 3 3 3 3 3 3 3 4]",LEFT ON THE THREE FIVE SIX SIX DIRECT TO TRASARIN
@bama one five contact zurich one three four decimal six tschuss ,061_0364,"[-0.81360626 -0.5813728  -0.85440576 ...  0.08731102 -0.08694728
  0.00158314]","[3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",STWAMA AN FIVE CONDUCTS URISH WANTRY FOUR DESIMER SIXTRUS
airals one zero eight eight contact rhein one two seven three seven tschuss ,061_0365,"[-0.49162504 -0.46939072 -0.36302948 ... -0.19565411  0.11259058
 -0.05601221]","[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 4]",ER ASWANZI ROID EIGHT CONDUC LINE ONE TO SEVENTRY SERVANTRERS
alitalia two seven four contact rhein frequency one two seven three seven tschuss ,061_0366,"[-0.21176198 -0.5907749  -0.62804496 ...  0.02103723  0.00917369
  0.00133063]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 3 3 4]",ALITALIA TWO SEVEN FORK ON DERINE FREQUENCY ONE TWO SEVEN PRESEVENTURS
[EMPTY] ,061_0367,"[-3.2287896  -8.130825    1.0959768  ... -5.6889324   0.9777908
  0.33423567]",[ 3  5 17 23  6 22  3  4],
hoi ~k ~l ~m three four six identified ,061_0368,"[ 0.09351691 -0.06596819 -0.18067758 ... -0.22078845 -0.12073368
  0.0046821 ]","[3 3 3 4 3 3 4 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4]",ARCALEMPRY FOR SIX IDENTIFIED
[EMPTY] ,061_0369,"[-2.7004263  -4.365325   -1.709505   ...  0.44785592  0.40262973
  0.16731527]",[ 3  5 17 23  6 22  3  4],
swissair eight zero six contact rhein one two seven three seven tschuss ,061_0370,"[-3.6605555e-01 -3.8008359e-01 -2.3044646e-01 ...  2.3371851e-02
  6.7534768e-03  4.8963946e-05]","[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",SPIZA IZI OR SIX CON DECLINE ONE TO SEVENTRE SEVENTRET
swissair nine three six zero rhein one two seven three seven tschuss ,061_0371,"[-0.08130446 -0.65538883 -0.8080853  ... -0.03770801  0.03346939
 -0.37627554]","[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",WIZANAN ATRISIXIVOLL LINE ONE TO SEVENTRY SEVENTURS
tag lufthansa three six zero four identified ,061_0372,"[-0.10170344 -0.3383865  -0.46470475 ... -0.2167828  -0.06498326
  0.0029206 ]","[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 3 4]",THE OUTLOOKED ON THE TRESIXILFO IDENTIFIED
tag britannia three two seven alfa identified ,061_0373,"[-0.62233144 -0.5589029   0.16709717 ...  0.02941057 -0.57569015
 -0.90017587]","[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4]",DARPOTANIA THREE TO SEVEN AREIFI IDENTIFIED
tag sabena eight three zero identified ,061_0374,"[-0.14690956 -0.34303805 -0.22257395 ... -0.4259498  -0.22110644
  0.00485734]","[3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4]",PACABENAITRIZIRADENTIFIED
[EMPTY] ,061_0375,"[-9.852069   -0.49678928  0.03885928 ...  0.9302564  -4.4569545
 -7.763324  ]",[ 3  5 17 23  6 22  3  4],
alitalia six four seven four guten tag identified ,061_0376,"[-0.3632994  -0.64911366 -0.76803297 ... -0.31049684 -0.41164777
  0.17315444]","[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3
 3 4 3 3 3 3 3 3 3 3 3 3 4]",ALITALIA SIX FOR SEVEN FOGUAN TAGADENTIFINE
[FRAGMENT] hapag lloyd one one two identified ,061_0377,"[-0.5929697  -1.0406224  -0.7945218  ... -0.44185328 -0.4854401
  0.00486003]","[ 3 20 13  7 21 17  5  9  6  3  4  3  3  3  3  3  4  3  3  3  3  3  4  3
  3  3  4  3  3  3  4  3  3  3  4  3  3  3  3  3  3  3  3  3  3  4]",DO HAPARGLOD ON ONE TO IDENTIFY
tarom three seven two contact rhein one three two four ,061_0378,"[-0.20975317 -0.5591197  -0.5948776  ...  0.04417964 -0.6073567
 -0.59467363]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",TAROM THREE SEVEN TWO CONDACTINE ONE RE TWO FOUR
berlin five two five five contact rhein one two seven three seven ,061_0379,"[-0.21573606 -0.1902005  -0.14369348 ... -0.00968255 -0.4317583
  0.00138529]","[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",BELLIN FIVE TO FIVE FIVE CONTACT LINE ONE TO SEVENTHRY SEVEN
lufthansa three six zero four direct to trasadingen ,061_0380,"[-0.46026093 -1.3774002  -0.45421937 ... -0.77530664  0.27921376
  0.24638565]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4
 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4]",LEFT ON DA TRI SEX OR FOUR DIRECTO TRAZARING
tag lufthansa four seven zero zero identified ,061_0381,"[-2.0181909e-01 -9.8464918e-01 -8.8235056e-01 ...  2.6537938e-04
 -8.2702376e-02  6.9599454e-03]","[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4]",DAGLOUTANDA FORSEVEN ZI ROSEROS IDENTIFIED
tag speedbird one two nine identified ,061_0382,"[-0.40035465 -1.5692384  -0.49179855 ... -0.08329864  0.17388001
  0.08318743]","[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 4]",FACT WE WERE UNTO NIN IDENTIFIED
tag lufthansa four two zero seven identified ,061_0383,"[-0.43584365 -0.1023912  -0.4606324  ... -0.90638334 -0.1912084
  0.08123389]","[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 3 4]",TOUT LIFT ON THE FOOT OF DE ROSAVEN IDENTIFIED
lufthansa three six zero four climb flight level two nine zero ,061_0384,"[-0.31925648 -0.5238885  -0.47994253 ...  0.07666285  0.01252096
  0.0019524 ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",LOFTON THA TREE SIX THE ROFOR CLAMP FLA LEVER TWO NANAZIRO
sabena eight three zero contact rhein frequency one two seven three seven tschuss ,061_0385,"[-0.24091919 -0.46147084 -0.3053632  ...  0.07044072 -0.32895127
  0.00088641]","[3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 3 3 4]",SABENATRISIRAL CONDUCT LINE FREQUENCY ONE TO SEVANTRY SEVANTES
tag lufthansa five two three six identified ,061_0386,"[-0.6079205  -0.7839491  -0.3784962  ...  0.01216512 -0.21420668
 -0.52415967]","[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 4]",TAGLOVT ONDER FIVE TUTRYSIX IDENTIFIED
tag golf bravo victor juliett india identified ,061_0387,"[-0.55290306 -1.2228705  -1.2799379  ... -0.31572235  0.21332097
  0.00814406]","[3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 3 3 3 3 4]",THAGOSPOVO VICTO RULID IN THE IDENTIFIED
lufthansa four seven zero zero climb flight level two nine zero ,061_0388,"[-0.98491734 -0.67535466 -0.5054857  ... -0.23753025 -0.5651837
  0.2833217 ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",OFT UNDER FOUR SEVEN ZE ROSEORCIAM FLOD OVER TWO NAYNOSON
@indialook guten tag identified ,061_0389,"[-0.09594741 -0.13855796 -0.3412866  ...  0.12848952 -0.03318431
  0.00313682]",[3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],AND YALOCC UNTARDANTIFIED
~k ~l ~m three four six report your heading ,061_0390,"[-0.64570856 -1.2363107  -0.7010802  ...  0.15110926 -0.5988171
  0.00313018]","[3 3 4 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 3 3 4]",CALL HIM TREE FOR SIX LOPOTYA HEADING
roger turn left heading three five five radar vectors nattenheim ,061_0391,"[-0.52796245 -0.30857348 -0.5547755  ... -0.10006942 -0.9144093
  0.00224842]","[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4]",OR DRORTUN LEFT HADING THREE FIVE FIVE REDAVECLUS AN ATENHEIM
@indialook climb flight level two nine zero ,061_0392,"[-0.42724946 -0.94197875 -0.34088647 ...  0.08344962  0.04241285
  0.06039186]","[3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3
 3 4 3 3 3 3 4]",AND YER LOKE CLAMFLAD OF THE TU NANAZIRON
tag saudia one zero six identified ,061_0393,"[-0.31693855 -0.31062856  0.09298278 ...  0.13556474 -0.58770573
  0.00331663]",[3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],TAADIA ANS AR ASIX IDENTIFIED
lufthansa five two three six contact rhein one two seven three seven tschuss ,061_0394,"[-0.27273306 -0.4456597  -0.00542823 ... -0.42076173 -0.25486198
  0.00135814]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3
 3 3 4]",LEFT UNDE FIVE TUTR SIX CONDUCT RYNE ONE TO SEVENTREE SEVENTUS
britannia three two seven alfa contact rhein frequency one three two decimal four tschuss ,061_0395,"[-0.5526196  -1.2384856  -0.66099036 ...  0.04867515 -0.2502519
 -1.5564756 ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3
 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4]",OTANIATRI TO SEVEN AR FAR CONTACT LINE FREQUENCY ANTRITUDESIMER FORTRESS
lufthansa three five six six zurich one three fo= ,061_0396,"[-2.6137948e-03 -8.6616242e-01 -5.9875351e-01 ... -3.1304498e+00
 -3.4565799e+00  3.2973655e-03]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 4]",ROTANDATRI FIVE SIX SIX TORISHMANTRIF
one three four six tschuss ,061_0397,"[-0.6196707  -0.49576393  0.11004067 ... -0.46156225 -0.4671312
  0.00177634]",[3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4],MONTH BEFORE SEXTRAS
hapag lloyd one one two rhein one two seven three seven tschuss ,061_0398,"[-0.3916559  -0.8778752  -0.7228766  ...  0.03349934  0.01015921
  0.00185617]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3
 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",O GLOD ONE ONE TO RIND ONE TO SEVENTRY SEVENTERS
hapag lloyd one one two one two seven three seven tschu ,061_0399,"[-0.00166461 -0.64063424 -0.6589115  ... -0.02055031 -0.51333165
  0.00623142]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",HAPOGLOIT ONE ANE TWO ONE TWO SEVEN THREE SEVEN SURE
~k ~l ~m three four six direct nattenheim ,061_0400,"[-0.18741837 -0.26150745 -0.16494353 ... -0.0519553  -0.55522865
  0.12254941]","[3 3 4 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3
 3 3 3 3 4]",CARL ANDTHRI FORSEX DIGT AND NATTENHEIM
hotel tango romeo schonen tag identified ,061_0401,"[-0.29691866 -1.1849368  -0.6460938  ... -0.32722494 -0.3530157
  0.12023346]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3
 3 3 3 4]",OR TO TANGO ORMYO SHOING ON TAR IDENTIFIED
speedbird one two nine contact rhein one three two four tschuss ,061_0402,"[-0.68971896 -0.3487684   0.21955216 ... -0.10526925  0.20173517
 -0.19774044]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4
 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4]",SPEEP AR VANTUNA AND CON DEC LINE ONTRY TOO FORTRESS
tag lufthansa three five five zero identified climb to flight level two seven zero ,061_0403,"[-0.4776545  -0.3176212  -0.81728804 ...  0.2299822  -0.49092573
 -0.5746398 ]","[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3
 3 3 3 4 3 3 3 3 4]",TOGLOFT ONH THREE FIVE FIVE SIRO I IDENTIFIED THE CLUNK OF FLOOD LEVEL TO SEVEN SIRON
tag lufthansa four two zero nine identified ,061_0404,"[-0.9923421  -0.55812573 -0.41712886 ... -0.5139019  -0.44792423
 -0.12956321]","[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 4]",TARKLOFT ON DE FOTOSILONIN IDENTIFIED
tag sabena eight three six identified ,061_0405,"[-0.8218841  -0.10653166  0.08610964 ... -0.58365554 -0.8302428
  0.00769552]","[3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 4]",TAXABENITRY SIX IDENTIFIED
bee med one guten tag identified ,061_0406,"[-0.63494873 -0.96432614 -0.33825603 ...  0.25187016 -0.27056262
  0.00433186]",[3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 4],BE MADOAN GUANTARGERD ANTIFINED
[EMPTY] ,061_0407,"[-1.0476398  -3.9893994  -2.988521   ...  0.209874    0.4555389
 -0.27320936]",[ 3  5 17 23  6 22  3  4],
jat two seven three contact munchen one three four five two tschuss ,061_0408,"[-0.44124955 -1.1765325  -1.332777   ...  0.10654116  0.39034915
 -0.03604679]","[3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",YET TWO SEVEN THREE CONDACT MUNCIAN ONE THRE FOUR FIVE TORTUES
jat two seven three ,061_0409,"[-0.5670573  -0.718564   -0.36197174 ... -0.01552892 -0.15368852
  0.03256826]",[3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4],YET TWO SEVEN THREE
oh it's one three four five two ,061_0410,"[-0.44328463 -0.5576866  -0.685277   ...  0.09966141 -0.07818933
  0.00600209]","[ 3  3  4  3  3 27  3  4  3  3  3  4  3  3  3  3  3  4  3  3  3  3  4  3
  3  3  3  4  3  3  3  4]",OR IT'S ONE PREY FOUR FIVE TWO
lufthansa three six zero four contact zurich one three four six tschuss ,061_0411,"[-0.4240934  -0.82153857 -0.67171293 ...  0.04380993 -0.12837248
 -0.6266544 ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",LOFANDATRI SIXIVO FOUR CONDUCT SURISHMONTLEFOR SIXTRUS
[EMPTY] ,061_0412,"[ -3.4438574 -11.066609   -8.891197  ...   1.9412768  -5.0414143
  -6.54638  ]",[ 3  5 17 23  6 22  3  4],
